file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_002344_SimBA-DCT_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA-DCT_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA-DCT_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002400_SimBA-DCT_(0.3, 100).png,0.9986732,0.9985343,49.975304,0.9817033,0.9998424,0.9994977,0.00085138466,0.0010428057,0.99578196,0.10098502
2007_002400_SimBA-DCT_(0.3, 500).png,0.9965513,0.9950594,44.61489,0.950529,0.9995032,0.998439,0.0024977436,0.0032511896,0.98643714,0.13311708
2007_002400_SimBA-DCT_(3, 100).png,0.98268163,0.9745147,37.350914,0.80741477,0.99754447,0.9909433,0.014026406,0.018212121,0.93471694,0.20799395
2007_002400_SimBA-DCT_(3, 500).png,0.98377824,0.97485703,37.636486,0.8632129,0.9981606,0.9941987,0.008509408,0.011922148,0.9517706,0.18504271
2007_002400_SimBA-DCT_(30, 100).png,0.89013565,0.8341836,26.463928,0.6840816,0.9847673,0.9697598,0.025852272,0.0410032,0.77193534,0.2861323
2007_002400_SimBA-DCT_(30, 500).png,0.7753005,0.7442293,23.537247,0.22770694,0.9161461,0.81568414,0.1961803,0.21045731,0.41320676,0.47165987
2007_002400_SimBA_(0.3, 100).png,0.9986849,0.9997361,51.63042,0.99111193,0.9999686,0.9999169,0.0019047247,0.0032878912,0.9993224,0.07898719
2007_002400_SimBA_(0.3, 500).png,0.9937791,0.99877346,44.549202,0.9556971,0.99984264,0.99951303,0.0046740775,0.007127448,0.99717534,0.12127525
