file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_006865_OnePixel_(10, 40).png,0.9992818,0.99980897,52.689648,0.9937914,0.9999187,0.9997734,0.0055859843,0.0055587715,0.99935937,0.08456005
2007_006865_OnePixel_(100, 50).png,0.9919891,0.997715,43.38341,0.953407,0.9996245,0.9987718,0.013942993,0.014698249,0.9954829,0.14035717
2007_006865_OnePixel_(50, 40).png,0.99556893,0.99862206,46.034615,0.97387123,0.999773,0.99926704,0.012893596,0.012435064,0.99801654,0.12727387
2007_006946_OnePixel_(10, 40).png,0.9989755,0.99962276,50.87133,0.9917596,0.9999068,0.99977404,0.008824944,0.008110142,0.9995639,0.100286916
2007_006946_OnePixel_(100, 50).png,0.99158233,0.99721736,42.447235,0.9480517,0.9994218,0.9985749,0.01629581,0.016321538,0.99586105,0.1489493
2007_006946_OnePixel_(300, 80).png,0.9778726,0.99362177,38.555874,0.8686833,0.9981829,0.9961985,0.027087184,0.027560672,0.9877506,0.18995303
2007_006946_OnePixel_(50, 40).png,0.99560755,0.9986169,44.980995,0.97068506,0.99956006,0.99900496,0.015014599,0.014264492,0.9974154,0.13762961
2007_007080_OnePixel_(10, 40).png,0.9988002,0.9994716,49.553894,0.99305606,0.9998693,0.9995456,0.010346103,0.009299879,0.9995287,0.10972473
2007_007080_OnePixel_(100, 50).png,0.98989964,0.9961405,40.913124,0.93765616,0.9992502,0.99773455,0.028683271,0.025913354,0.9949916,0.18324171
2007_007080_OnePixel_(50, 40).png,0.99484915,0.99809927,43.707687,0.96616036,0.9995545,0.99862844,0.021683505,0.01940096,0.9970998,0.15696128
2007_007168_OnePixel_(10, 40).png,0.9992176,0.99974895,52.02125,0.995947,0.9999721,0.999882,0.0060027526,0.0059266905,0.99969447,0.090510145
2007_007168_OnePixel_(100, 50).png,0.9938344,0.99798036,41.878204,0.96161455,0.9996028,0.9988204,0.016922634,0.016296906,0.99656415,0.14678504
2007_007168_OnePixel_(300, 80).png,0.9845084,0.9957652,37.486385,0.90769774,0.9989847,0.9968702,0.023449445,0.023132805,0.9880305,0.17641851
2007_007168_OnePixel_(50, 40).png,0.99767053,0.9993509,45.68657,0.9836403,0.99984866,0.9997239,0.009713999,0.009390638,0.9985153,0.11336122
2007_007481_OnePixel_(10, 40).png,0.9987707,0.9994918,50.572754,0.9916703,0.99993116,0.999772,0.009963757,0.009099117,0.9988573,0.107270226
2007_007481_OnePixel_(100, 50).png,0.99025,0.99624294,41.047997,0.9397168,0.99944717,0.9984073,0.02681495,0.024340043,0.9941474,0.17662784
2007_007481_OnePixel_(50, 40).png,0.9951624,0.9981717,44.305424,0.96730125,0.9996857,0.99908173,0.018901192,0.017088594,0.9969663,0.14798458
2007_007908_OnePixel_(10, 40).png,0.99890727,0.9996697,50.40186,0.99396485,0.999908,0.99970245,0.010389056,0.009350459,0.99908113,0.10831945
2007_007908_OnePixel_(100, 50).png,0.993466,0.99824584,42.09166,0.9624601,0.99949706,0.99847096,0.019130401,0.018166523,0.99407446,0.15506181
2007_007908_OnePixel_(300, 80).png,0.97831,0.9931407,36.708782,0.88293934,0.9977463,0.9951405,0.041070227,0.03730462,0.98019564,0.22062798
